description,condition,code
Get one FREE MAIN COURSE when Three Main Courses are bought.,none,HPPSOEKL
Get one FREE NIGHT when Three Nights are bought.,none,NBMMLIAP
Get one FREE NIGHT when Three Nights are bought.,none,7MFP27W6
Get one FREE NIGHT FOR ONE PERSON when 3 Nights are bought.,none,NFAW0WTN
Get one FREE NIGHT FOR ONE PERSON when 3 Nights are bought.,none,UEV44TEH
Get a Free Manicure or Pedicure when an Advance Skin Care Treatment of equal or greater value is bought,none,UMU7DRRZ
Get a FREE MANICURE OR PEDICURE when an Advance Skin Care Treatment of equal or greater value is bought,none,7JJA1MDO
Get a FREE ITEM when Two Items of equal or greater value are bought,none,91WIL2TK
Get a FREE ITEM when Two Items of equal or greater value are bought,none,QN3ZEL16
Get one FREE BURGER when a Burger of equal or greater value is bought,none,00AT4AOK
Get one FREE BURGER when a Burger of equal or greater value is bought,none,5EH1MUSS
Get one FREE GOLD PACKAGE when a Silver Package is bought,none,JK1DV9DJ
Get one FREE PLATINUM PACKAGE when a Gold Package is bought,none,PHGUINK8
"Get one FREE POLO SHIRT when a Polo shirt of KES2,100 is bought.",Items on offer cannot be returned or exchanged for cash,CABZSKCO
"Get one FREE POLO SHIRT when a Polo shirt of KES2,100 is bought",Items on offer cannot be returned or exchanged for cash,VLBOD11R
Get one FREE PIZZA when a Pizza of equal or greater value is bought,none,GAAA3PUB
Get one FREE PASTA when a Pasta of equal or greater value is bought,none,TZLY07Q5
Get one FREE MAIN COURSE when a Main Course of equal or greater value is bought,none,5V1D0ZX5
Get one FREE MAIN COURSE when a Main Course of equal or greater value is bought,none,TWRITX7M
Get one FREE CROQUETTE when a Croquette of equal or greater value is bought,none,W82DAAGC
Get one FREE CHUROS when a Churos of equal or greater value is bought,none,Z9A1HHMT
Get one FREE MAIN COURSE when a Main Course of equal or greater value is bought,none,ODS0MYDM
Get one FREE MAIN COURSE when a Main Course of equal or greater value is bought,none,EA9GNECN
Get one FREE NIGHT when Two Nights of equal or great value are bought,none,EF22YV13
Get one FREE NIGHT when Two Nights of equal or great value are bought,none,58HH5L5I
Get one FREE 8PC WINGS MEAL when an 8pc Wings Meal of equal or greater value is bought,none,EHTQK0IY
Get one FREE 8PC WINGS MEAL when an 8pc Wings Meal of equal or greater value is bought,none,VG89NA71
Get a FREE ITEM when Two Items of equal or greater value are bought.,none,VG89NA71
Get a FREE ITEM when Two Items of equal or greater value are bought.,none,N1G8URI6
Get a FREE MANICURE OR PEDICURE when an Advance Skin Care Treatment of equal or greater value is bought.,none,GNO3I77M
Get a FREE MANICURE OR PEDICURE when an Advance Skin Care Treatment of equal or greater value is bought.,none,N1G8URI6
Get one FREE MANICURE OR PEDICURE when a Facial of equal or greater value is bought.,none,9SL7O3XN
Get one FREE MANICURE OR PEDICURE when a Hair Treatment of equal or greater value is bought.,none,E09GBXOU
Get a FREE FISH PEDICURE when 1 hour Hot Stone Massage is bought.,none,NJMWIOEZ
Get a FREE MANICURE when Manicure of equal or great value is bought.,none,3FM600KP
Get one FREE KIDS HAIR DO when a Massage & Facial is bought.,none,2IX9G3NO
Get one FREE MANICURE when a Healing Earth Facial is bought.,none,3D6FR32X
Get one FREE PEDICURE when a Massage is bought.,none,YHGJIRB2
Get one FREE MANICURE when a massage is bought.,none,G4VH68RA
Get one FREE EXPRESS MANI PEDI when a Massage of equal or greater value is bought.,none,HS19UWXM
Get one FREE EXPRESS MANI PEDI when a Facial of equal or greater value is bought.,none,SYTC2DHW
Get one FREE PEDICURE OR MANICURE when a Mizani Hair Treatment of equal or greater value is bought.,none,F0I90O48
Get one FREE PEDICURE OR MANICURE when a Mizani Hair Treatment of equal or greater value is bought.,none,X5CNUO02
Get one FREE SAFARI WALK & ANIMAL ORPHANAGE TRIP when Two Nights are bought.,none,SPG9EC7D
Get one FREE SAFARI WALK & ANIMAL ORPHANAGE TRIP when Two Nights are bought.,none,F0XVJFAC
Get one FREE NIGHT when 6 Nights of equal or greater value are bought.,none,2OHAFIBF
Get one FREE NIGHT when 6 Nights of equal or greater value are bought.,none,91RSDNFW
Get one Free SINGLE ENTRY TICKET when a Single Entry Ticket is bought.,none,FV12T4QA
Get one Free SINGLE ENTRY TICKET when a Single Entry Ticket is bought.,none,Q093Y4M4
Get one FREE NIGHT when a Three Nights are bought.,none,JLURQROP
Get one FREE NIGHT when a Three Nights are bought.,none,J5766G3B
Get one FREE TICKET when a ticket of equal or greater value are bought.,Valid only on Monday to Friday,XSJ97YDN
Get one FREE TICKET when a ticket of equal or greater value are bought.,none,QRXWS0M4
Get one FREE NIGHT when Two Nights are bought.,none,3J2EJBUU
Get one FREE NIGHT when Two Nights are bought.,none,7LYID3TP
Get one FREE NIGHT when Two Nights are bought.,none,7LYID3TP
Get one FREE DOUBLE ROOM when a Double room of equal or greater value is bought.,none,E6GJJQR5
Get one FREE DOUBLE ROOM when a Double room of equal or greater value is bought.,none,DUZ3U1HG
Get a FREE PEDICURE OR MANICURE when a Massage is bought.,none,4QXD14MW
Get a FREE PEDICURE OR MANICURE when a Massage is bought.,none,2Y6LF39N
Get one FREE MAIN DISH when a Main Dish of equal or greater value is bought.,none,Z3UKPU8C
